[1.22810000e+04 5.39194909e-04]
[1.22820000e+04 1.39057593e-04]
[1.22830000e+04 1.69895313e-04]
[1.22840000e+04 1.41001103e-04]
[1.22850000e+04 1.79787516e-04]
[1.22860000e+04 2.92296347e-04]
[1.22870000e+04 2.53589154e-04]
[1.22880000e+04 3.06318398e-04]
[1.22890000e+04 2.10052807e-04]
[1.22900000e+04 2.13310894e-04]
[1.22910000e+04 3.71697039e-04]
[1.22920000e+04 1.62670476e-04]
[1.22930000e+04 1.31238397e-04]
[1.22940000e+04 1.57283735e-04]
[1.22950000e+04 1.04424988e-04]
[1.22960000e+04 1.36862902e-04]
[1.22970000e+04 1.13584298e-04]
[1.22980000e+04 9.88033498e-05]
[1.22990000e+04 8.37509462e-04]
[1.23000000e+04 1.28067855e-03]
[1.23010000e+04 1.12639635e-03]
[1.23020000e+04 7.43396231e-04]
[1.23030000e+04 8.93055461e-04]
[1.2304000e+04 9.5507584e-04]
[1.23050000e+04 7.57636386e-04]
[1.23060000e+04 6.94165763e-04]
[1.23070000e+04 8.99302308e-04]
[1.23080000e+04 7.67144666e-04]
[1.2309000e+04 7.9604378e-04]
[1.2310000e+04 9.3961868e-04]
[1.2311000e+04 7.8013289e-04]
[1.23120000e+04 7.31104345e-04]
[1.23130000e+04 6.16255798e-04]
[1.23140000e+04 7.35169277e-04]
[1.23150000e+04 5.82479464e-04]
[1.23160000e+04 8.20917019e-04]
[1.23170000e+04 1.34113245e-03]
[1.23180000e+04 4.01204976e-04]
[1.2319000e+04 6.7773409e-04]
[1.23200000e+04 9.02438536e-04]
[1.2321000e+04 5.1114423e-04]
[1.23220000e+04 2.75880273e-04]
[1.23230000e+04 1.40624179e-04]
[1.23240e+04 1.15584e-04]
[1.23250000e+04 1.00567457e-04]
[1.23260000e+04 9.94110087e-05]
[1.23270000e+04 1.15319453e-04]
[1.23280000e+04 1.13926733e-04]
[1.23290000e+04 1.61292031e-04]
[1.23300000e+04 5.72843477e-04]
[1.23310000e+04 1.74480476e-04]
[1.23320000e+04 7.18799303e-04]
[1.23330000e+04 8.11313454e-04]
[1.23340000e+04 9.87965963e-04]
[1.23350000e+04 1.16194191e-03]
[1.23360000e+04 1.12702185e-03]
[1.23370000e+04 1.13622402e-03]
[1.23380000e+04 1.17348041e-03]
[1.23390000e+04 8.71749944e-04]
[1.23400000e+04 1.09825644e-03]
[1.23410000e+04 9.74761788e-04]
[1.23420000e+04 8.15177511e-04]
[1.23430000e+04 5.27340744e-04]
[1.23440000e+04 1.46921171e-04]
[1.23450000e+04 1.19998906e-04]
[1.23460000e+04 9.84496219e-05]
[1.23470000e+04 1.05443156e-04]
[1.23480000e+04 1.20229248e-04]
[1.23490000e+04 1.02089019e-04]
[1.23500000e+04 4.99008805e-04]
[1.23510000e+04 5.60366898e-04]
[1.23520000e+04 1.06588159e-04]
[1.2353000e+04 4.7737718e-04]
[1.23540000e+04 5.11354534e-04]
[1.23550000e+04 9.00916406e-04]
[1.23560000e+04 9.60811391e-04]
[1.23570000e+04 7.66555662e-04]
[1.23580000e+04 2.71724013e-04]
[1.23590000e+04 9.59078461e-05]
[1.23600000e+04 9.52721821e-05]
[1.23610000e+04 8.31106299e-05]
[1.23620000e+04 1.29671054e-04]
[1.23630000e+04 1.02834405e-04]
[1.23640000e+04 1.29378881e-04]
[1.23650000e+04 1.00810277e-04]
[1.23660000e+04 1.02358128e-04]
[1.23670000e+04 1.27453459e-04]
[1.23680000e+04 1.29085602e-04]
[1.23690000e+04 1.20963909e-04]
[1.23700000e+04 1.10832807e-04]
[1.23710000e+04 1.44002042e-04]
[1.23720000e+04 8.52463243e-04]
[1.23730000e+04 1.01401172e-04]
[1.2374000e+04 1.1181672e-04]
[1.23750000e+04 1.16483257e-04]
[1.23760000e+04 1.14238901e-04]
[1.23770000e+04 1.20195407e-04]
[1.23780000e+04 1.27977517e-04]
[1.23790000e+04 1.06214669e-04]
[1.23800000e+04 1.24356637e-04]
[1.2381000e+04 1.1220383e-04]
[1.23820000e+04 1.96287641e-04]
[1.23830000e+04 1.30405417e-04]
[1.23840000e+04 1.10665511e-04]
[1.23850000e+04 1.17962714e-04]
[1.23860000e+04 9.54030984e-05]
[1.23870000e+04 1.12440568e-04]
[1.23880000e+04 1.44178164e-04]
[1.23890000e+04 1.12970796e-04]
[1.23900000e+04 1.06736712e-04]
[1.23910000e+04 3.07218259e-04]
[1.23920000e+04 1.10958157e-04]
[1.23930000e+04 1.03949809e-04]
[1.2394000e+04 2.9052113e-04]
[1.23950000e+04 1.02062106e-04]
[1.23960000e+04 1.08977147e-04]
[1.23970000e+04 3.10002419e-04]
[1.23980000e+04 1.14176612e-04]
[1.23990000e+04 9.96211529e-05]
[1.24000000e+04 4.06313076e-04]
[1.24010000e+04 1.00772668e-04]
[1.24020000e+04 1.04855841e-04]
[1.24030000e+04 1.06946507e-04]
[1.24040000e+04 1.31275025e-04]
[1.2405000e+04 3.0876961e-04]
[1.24060000e+04 1.19879398e-04]
[1.24070000e+04 1.06730462e-04]
[1.24080000e+04 1.05476392e-04]
[1.24090000e+04 1.05833838e-04]
[1.24100000e+04 1.09664688e-04]
[1.24110000e+04 1.04763145e-04]
[1.24120000e+04 1.21772129e-04]
[1.24130000e+04 2.19362963e-04]
[1.24140000e+04 1.11698224e-04]
[1.24150000e+04 1.07495893e-04]
[1.24160000e+04 1.44327831e-04]
[1.24170000e+04 1.05223837e-04]
[1.24180000e+04 1.11842499e-04]
[1.24190000e+04 3.09695955e-04]
[1.24200000e+04 1.07935084e-04]
[1.24210000e+04 9.83836289e-05]
[1.24220000e+04 3.68810666e-04]
[1.24230000e+04 1.01382713e-04]
[1.2424000e+04 9.4655843e-05]
[1.24250000e+04 7.89733967e-05]
[1.2426000e+04 1.2039984e-04]
[1.2427000e+04 1.3251332e-04]
[1.2428000e+04 9.6472929e-04]
[1.24290000e+04 7.49513914e-04]
[1.243000e+04 6.396838e-04]
[1.24310000e+04 6.93046022e-04]
[1.24320000e+04 6.62827981e-04]
[1.2433000e+04 8.3368388e-04]
[1.2434000e+04 5.3875742e-04]
[1.24350000e+04 8.71113967e-04]
[1.24360000e+04 5.53635764e-04]
[1.24370000e+04 7.62012845e-04]
[1.24380000e+04 1.00048131e-03]
[1.24390000e+04 2.04500349e-04]
[1.24400000e+04 1.91996791e-04]
[1.24410000e+04 1.23408937e-03]
[1.24420000e+04 1.04262482e-03]
[1.24430000e+04 1.02846177e-04]
[1.24440000e+04 7.57676433e-04]
[1.24450000e+04 1.19427525e-04]
[1.24460000e+04 8.38100095e-04]
[1.24470000e+04 6.86187937e-04]
[1.24480000e+04 1.12269496e-04]
[1.24490000e+04 4.49245039e-04]
[1.2450000e+04 1.2518451e-04]
[1.24510000e+04 8.59219173e-04]
[1.24520000e+04 1.79781855e-04]
[1.24530000e+04 2.30792284e-04]
[1.24540000e+04 3.07656243e-04]
[1.24550000e+04 8.65436086e-05]
[1.24560000e+04 1.06952117e-04]
[1.24570000e+04 8.54153186e-04]
[1.2458000e+04 4.6282183e-04]
[1.24590000e+04 1.79359864e-04]
[1.24600000e+04 7.99578556e-04]
[1.24610000e+04 2.23305877e-04]
[1.24620000e+04 1.00032201e-04]
[1.24630000e+04 1.26661995e-04]
[1.24640000e+04 1.20881933e-03]
[1.2465000e+04 1.1148171e-03]
[1.24660000e+04 8.08669196e-04]
[1.24670000e+04 7.51799322e-04]
[1.24680000e+04 9.46855987e-04]
[1.2469000e+04 9.2473207e-04]
[1.24700000e+04 6.36815821e-05]
[1.24710000e+04 1.11823843e-04]
[1.24720000e+04 9.44023341e-05]
[1.24730000e+04 3.28427937e-04]
[1.24740000e+04 1.23494174e-04]
[1.2475000e+04 1.2220908e-04]
[1.24760000e+04 8.74867765e-05]
[1.24770000e+04 9.66615116e-05]
[1.24780000e+04 9.60946927e-05]
[1.24790000e+04 1.00678437e-04]
[1.24800000e+04 1.07664811e-04]
[1.24810000e+04 1.19321485e-04]
[1.24820000e+04 1.13084156e-04]
[1.24830000e+04 1.07588246e-04]
[1.24840000e+04 1.21806326e-04]
[1.2485000e+04 1.3383379e-04]
[1.24860000e+04 1.19618009e-04]
[1.24870000e+04 9.71626068e-05]
[1.24880000e+04 1.12242764e-04]
[1.2489000e+04 1.0782155e-04]
[1.24900000e+04 1.05666571e-04]
[1.24910000e+04 1.07538748e-04]
[1.2492000e+04 1.1243976e-04]
[1.24930000e+04 1.05005674e-04]
[1.24940000e+04 8.80696825e-05]
[1.24950000e+04 8.79860745e-05]
[1.24960000e+04 9.71192785e-05]
[1.24970000e+04 1.21432262e-04]
[1.24980000e+04 1.14455703e-04]
[1.24990000e+04 1.12648602e-04]
[1.25000000e+04 1.13800619e-04]
[1.25010000e+04 1.15926778e-04]
[1.2502000e+04 1.1328933e-04]
[1.25030000e+04 1.11814348e-04]
[1.25040000e+04 1.12901384e-04]
[1.25050000e+04 1.16975891e-04]
[1.25060000e+04 1.11147674e-04]
[1.25070000e+04 1.14862669e-04]
[1.25080000e+04 1.18678392e-04]
[1.25090000e+04 1.21303005e-04]
[1.2510000e+04 1.2093666e-04]
[1.25110000e+04 1.20272351e-04]
[1.2512000e+04 1.1815258e-04]
[1.25130000e+04 1.16136333e-04]
[1.25140000e+04 1.21404926e-04]
[1.25150000e+04 1.09089277e-04]
[1.25160000e+04 1.21078338e-04]
[1.25170000e+04 1.28125917e-04]
[1.25180000e+04 1.20804034e-04]
[1.25190000e+04 1.07978143e-04]
[1.25200000e+04 1.05116633e-04]
[1.25210000e+04 1.01563215e-04]
[1.25220000e+04 1.04598643e-04]
[1.25230000e+04 1.09036519e-04]
[1.25240000e+04 1.12515954e-04]
[1.25250000e+04 1.16315845e-04]
[1.25260000e+04 1.12801295e-04]
[1.25270000e+04 9.37358782e-05]
[1.25280000e+04 1.09537868e-04]
[1.25290000e+04 1.32274014e-04]
[1.25300000e+04 1.06052059e-04]
[1.2531000e+04 1.2725337e-04]
[1.25320000e+04 8.25210882e-05]
[1.25330000e+04 4.62199569e-05]
[1.25340000e+04 4.02101505e-05]
[1.25350000e+04 1.16282405e-04]
[1.25360000e+04 1.26517785e-04]
[1.25370000e+04 1.24953585e-04]
[1.2538000e+04 1.1421727e-04]
[1.25390000e+04 1.07678119e-04]
[1.25400000e+04 1.00934485e-04]
[1.25410000e+04 9.73702627e-05]
[1.25420000e+04 1.01946127e-04]
[1.25430000e+04 1.02237507e-04]
[1.25440000e+04 1.02563346e-04]
[1.25450000e+04 1.09830115e-04]
[1.25460000e+04 1.16339412e-04]
[1.25470000e+04 1.11560104e-04]
[1.25480000e+04 1.02575104e-04]
[1.25490000e+04 1.01731675e-04]
[1.25500000e+04 1.03458959e-04]
[1.25510000e+04 1.07332584e-04]
[1.25520000e+04 1.12844129e-04]
[1.25530000e+04 1.11098227e-04]
[1.25540000e+04 1.07663407e-04]
[1.25550000e+04 1.04998217e-04]
[1.25560000e+04 1.04034982e-04]
[1.25570000e+04 1.06609383e-04]
[1.25580000e+04 1.08340668e-04]
[1.25590000e+04 1.06965774e-04]
[1.25600000e+04 1.09910972e-04]
[1.25610000e+04 1.09298002e-04]
[1.25620000e+04 1.14750888e-04]
[1.2563000e+04 1.1665652e-04]
[1.25640000e+04 1.13046131e-04]
[1.25650000e+04 1.10288187e-04]
[1.2566000e+04 1.0869078e-04]
[1.25670000e+04 1.03264625e-04]
[1.2568000e+04 1.0242837e-04]
[1.25690000e+04 1.02068167e-04]
[1.25700000e+04 1.01609912e-04]
[1.25710000e+04 9.83722348e-05]
[1.25720000e+04 9.81970006e-05]
[1.25730000e+04 9.94693619e-05]
[1.25740000e+04 1.02357262e-04]
[1.25750000e+04 1.09332184e-04]
[1.25760000e+04 1.08582492e-04]
[1.25770000e+04 1.06816246e-04]
[1.25780000e+04 1.04709638e-04]
[1.25790000e+04 1.04778373e-04]
[1.25800000e+04 1.06288579e-04]
[1.2581000e+04 1.0787326e-04]
[1.25820000e+04 1.12095004e-04]
[1.25830000e+04 1.07986496e-04]
[1.2584000e+04 1.0654817e-04]
[1.25850000e+04 1.07456683e-04]
[1.25860000e+04 1.08325272e-04]
[1.25870000e+04 1.09934845e-04]
[1.25880000e+04 1.11230547e-04]
[1.2589000e+04 1.1207132e-04]
[1.25900000e+04 1.08555068e-04]
[1.25910000e+04 1.04529492e-04]
[1.25920000e+04 1.01444857e-04]
[1.25930000e+04 9.90328481e-05]
[1.25940000e+04 9.92563946e-05]
[1.25950000e+04 1.00924728e-04]
[1.25960000e+04 1.02571576e-04]
[1.2597000e+04 1.0254376e-04]
[1.25980000e+04 1.07063788e-04]
[1.25990000e+04 1.21773034e-03]
[1.26000000e+04 3.31997726e-04]
[1.26010000e+04 2.24648727e-04]
[1.26020000e+04 1.26628409e-04]
[1.26030000e+04 1.17860727e-04]
[1.26040000e+04 1.70821106e-04]
[1.26050000e+04 1.32082961e-04]
[1.26060000e+04 9.96784293e-05]
[1.26070000e+04 9.69647663e-05]
[1.2608000e+04 1.0686936e-04]
[1.26090000e+04 1.16842733e-04]
[1.26100000e+04 1.28770567e-04]
[1.26110000e+04 1.03995997e-04]
[1.26120000e+04 1.24245329e-04]
[1.26130000e+04 1.08074208e-04]
[1.26140000e+04 1.09674504e-04]
[1.26150000e+04 1.19118013e-04]
[1.26160000e+04 1.20177807e-04]
[1.26170000e+04 1.12120033e-04]
[1.26180000e+04 2.86862632e-04]
[1.2619000e+04 2.0523915e-04]
[1.2620000e+04 1.1239892e-04]
[1.26210000e+04 1.17287214e-04]
[1.2622000e+04 1.4190111e-04]
[1.26230000e+04 1.02291233e-04]
[1.26240000e+04 8.53622259e-05]
[1.26250000e+04 1.16156029e-04]
[1.26260000e+04 9.66031294e-05]
[1.26270000e+04 8.10056808e-05]
[1.26280000e+04 1.03997801e-04]
[1.26290000e+04 1.27975523e-04]
[1.26300000e+04 1.24565602e-04]
[1.26310000e+04 1.05402934e-04]
[1.26320000e+04 1.43161189e-04]
[1.26330000e+04 1.03295177e-04]
[1.26340000e+04 7.07982181e-05]
[1.26350000e+04 9.34514173e-05]
[1.26360000e+04 1.14557595e-04]
[1.26370000e+04 1.23370992e-04]
[1.26380000e+04 1.09811663e-04]
[1.26390000e+04 1.13072965e-04]
[1.26400000e+04 1.12667622e-04]
[1.26410000e+04 1.86048113e-04]
[1.26420000e+04 1.31906098e-04]
[1.26430000e+04 7.38269155e-05]
[1.26440000e+04 9.61891928e-05]
[1.26450000e+04 9.00947343e-05]
[1.26460000e+04 1.37655166e-04]
[1.26470000e+04 1.23218837e-04]
[1.26480000e+04 1.29188513e-04]
[1.26490000e+04 1.10749279e-04]
[1.26500000e+04 8.90537558e-05]
[1.26510000e+04 1.30418019e-04]
[1.26520000e+04 1.24310289e-04]
[1.26530000e+04 1.23888778e-04]
[1.26540000e+04 1.06355517e-04]
[1.26550000e+04 1.21580437e-04]
[1.26560000e+04 1.27745996e-04]
[1.26570000e+04 1.34497939e-04]
[1.26580000e+04 1.20269906e-04]
[1.2659000e+04 1.1906962e-04]
[1.2660000e+04 1.0334402e-04]
